数据规模,噪声,非线性,CSI,MBRI,MAC,Structural,RIC-avg
500,0.1,linear,0.25,0.5284,0.6492,0.4506,0.4483
500,0.1,quadratic,0.75,0.5152,0.6484,0.4994,0.4539
500,0.1,neural,1.0,0.4877,0.6292,0.6013,0.4388
500,0.3,linear,0.25,0.5047,0.6419,0.4441,0.4334
500,0.3,quadratic,1.0,0.538,0.6496,0.5514,0.4426
500,0.3,neural,1.0,0.5089,0.6258,0.6001,0.4313
500,0.5,linear,1.0,0.5159,0.6443,0.5526,0.4293
500,0.5,quadratic,1.0,0.5667,0.639,0.5842,0.4273
500,0.5,neural,1.0,0.484,0.6427,0.6121,0.4323
1000,0.1,linear,1.0,0.5088,0.5847,0.6693,0.4408
1000,0.1,quadratic,1.0,0.5405,0.5894,0.6584,0.4388
1000,0.1,neural,1.0,0.4692,0.5665,0.7075,0.4518
1000,0.3,linear,1.0,0.5149,0.5653,0.6662,0.4319
1000,0.3,quadratic,1.0,0.5463,0.5868,0.6884,0.4404
1000,0.3,neural,1.0,0.498,0.5402,0.7102,0.4445
1000,0.5,linear,1.0,0.5197,0.5604,0.6665,0.4284
1000,0.5,quadratic,1.0,0.5737,0.5738,0.6951,0.4196
1000,0.5,neural,1.0,0.5419,0.5358,0.7154,0.4364
2000,0.1,linear,1.0,0.566,0.5301,0.5946,0.4176
2000,0.1,quadratic,1.0,0.6027,0.5484,0.5593,0.4212
2000,0.1,neural,1.0,0.5102,0.5285,0.5423,0.4298
2000,0.3,linear,0.25,0.5893,0.5252,0.4897,0.4148
2000,0.3,quadratic,1.0,0.6711,0.5936,0.6205,0.4346
2000,0.3,neural,1.0,0.5054,0.52,0.5243,0.4308
2000,0.5,linear,1.0,0.5808,0.5174,0.5943,0.4133
2000,0.5,quadratic,1.0,0.7121,0.6162,0.667,0.4557
2000,0.5,neural,1.0,0.5013,0.5128,0.5145,0.4256
5000,0.1,linear,1.0,0.6141,0.5132,0.5656,0.3948
5000,0.1,quadratic,1.0,0.6344,0.5307,0.561,0.3954
5000,0.1,neural,1.0,0.6193,0.5184,0.5678,0.4231
5000,0.3,linear,1.0,0.6437,0.5115,0.5692,0.3924
5000,0.3,quadratic,1.0,0.769,0.5609,0.6369,0.407
5000,0.3,neural,1.0,0.6209,0.5257,0.5577,0.424
5000,0.5,linear,1.0,0.6338,0.5097,0.5683,0.3949
5000,0.5,quadratic,1.0,0.7915,0.5841,0.6854,0.4212
5000,0.5,neural,1.0,0.6262,0.5252,0.5385,0.4221
